Type,v,w
curve,5,-0.0689
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.059699999999999996
curve,5,-0.06
straight,13,0.00595
curve,5,0.07919999999999999
curve,5,0.075
curve,5,0.1492
curve,5,0.211
curve,5,0.207
curve,5,0.26015
curve,5,0.25665
curve,5,0.29345
curve,5,0.29145
curve,5,0.28685
curve,5,0.28709999999999997
curve,5,0.28709999999999997
curve,5,0.25029999999999997
curve,5,0.1971
curve,5,0.2001
curve,5,0.2001
curve,5,0.12189999999999998
curve,5,0.12614999999999998
curve,5,0.0364
curve,5,0.0414
curve,5,-0.0556
curve,5,-0.0506
curve,5,-0.1716
curve,5,-0.165
straight,13,-0.15105000000000002
straight,13,-0.1458
curve,5,-0.3654
curve,5,-0.36
curve,5,-0.40395
curve,5,-0.4002
curve,5,-0.44284999999999997
curve,5,-0.43934999999999996
curve,5,-0.5740000000000001
curve,5,-0.5640000000000001
curve,5,-0.53425
curve,5,-0.536
curve,5,-0.468
curve,5,-0.47200000000000003
curve,5,-0.37425
curve,5,-0.38
curve,5,-0.25225000000000003
curve,5,-0.261
curve,5,-0.07715000000000001
curve,5,-0.0874
curve,5,0.1382
curve,5,0.125
curve,5,0.36879999999999996
curve,5,0.355
curve,5,0.49744999999999995
curve,5,0.48719999999999997
curve,5,0.5924999999999999
curve,5,0.584
curve,5,0.6775
curve,5,0.672
curve,5,0.6975
curve,5,0.6960000000000001
curve,5,0.662
curve,5,0.664
curve,5,0.57475
curve,5,0.58
curve,5,0.43125
curve,5,0.44
curve,5,0.24025
curve,5,0.252
curve,5,0.018250000000000002
curve,5,0.032
curve,5,-0.24935000000000002
curve,5,-0.2346
straight,13,-0.32060000000000005
straight,13,-0.30510000000000004
curve,5,-0.78655
curve,5,-0.7727999999999999
curve,5,-0.9378
curve,5,-0.92655
curve,5,-1.056
curve,5,-1.044
exception,5,-1.35875
exception,5,-1.335
exception,5,-1.299
exception,5,-1.30125
exception,5,-1.18525
exception,5,-1.1925
exception,5,-0.9884999999999999
exception,5,-1.00125
straight,9,-0.43815
straight,9,-0.45815
curve,5,-0.33149999999999996
curve,5,-0.356
curve,5,0.086
curve,5,0.06
straight,13,0.34730000000000005
straight,13,0.32130000000000003
curve,5,1.0880499999999997
curve,5,1.0570499999999998
curve,5,1.25675
curve,5,1.24
exception,5,1.4625
exception,5,1.4437499999999999
exception,5,1.69225
exception,5,1.66075
exception,5,1.7727499999999998
exception,5,1.7647499999999998
exception,5,1.8207499999999999
exception,5,1.8167499999999999
exception,5,1.80625
exception,5,1.807
exception,5,1.6985
exception,5,1.7062499999999998
exception,5,1.4822499999999998
exception,5,1.4982499999999999
exception,5,1.2272500000000002
exception,5,1.2530000000000001
exception,5,0.78425
exception,5,0.8155
exception,5,0.24925000000000003
exception,5,0.28700000000000003
curve,5,-0.3445
curve,5,-0.30374999999999996
curve,5,-1.2650000000000001
curve,5,-1.219
curve,5,-2.2366
curve,5,-2.185
exception,5,-1.87875
exception,5,-1.8459999999999999
exception,5,-2.035
exception,5,-2.0215
missing,-0.6,-1
missing,-0.6,-1
exception,5,-2.0145
exception,5,-2.015
exception,5,-1.9344999999999999
exception,5,-1.9402499999999998
exception,5,-1.81775
exception,5,-1.8265
exception,5,-1.7599999999999998
exception,5,-1.7647499999999998
exception,5,-1.39375
exception,5,-1.42025
exception,5,-1.072
exception,5,-1.1025
exception,5,-0.7012499999999999
exception,5,-0.728
straight,9,-0.2396
straight,9,-0.2646
curve,5,-0.077
curve,5,-0.0975
curve,5,0.23174999999999998
curve,5,0.212
curve,5,0.67545
curve,5,0.6532
curve,5,1.274
curve,5,1.242
curve,5,1.4780999999999997
curve,5,1.4615999999999998
exception,5,1.531
exception,5,1.52
exception,5,1.4969999999999999
exception,5,1.4925
exception,5,1.5125
exception,5,1.51125
exception,5,1.53525
exception,5,1.53375
exception,5,1.54175
exception,5,1.54125
exception,5,1.51725
exception,5,1.51875
exception,5,1.43075
exception,5,1.43625
exception,5,1.26025
exception,5,1.27125
exception,5,0.9165
exception,5,0.9345
exception,5,0.55575
exception,5,0.581
curve,5,0.1505
curve,5,0.18
curve,5,-0.369
curve,5,-0.336
curve,5,-1.1355
curve,5,-1.095
curve,5,-1.6379
curve,5,-1.6054
exception,5,-1.81675
exception,5,-1.792
exception,5,-1.92375
exception,5,-1.9160000000000001
exception,5,-1.57775
exception,5,-1.57625
exception,5,-1.62275
exception,5,-1.635
exception,5,-1.339
exception,5,-1.3575
exception,5,-1.0374999999999999
exception,5,-1.0574999999999999
curve,5,-0.6774999999999999
curve,5,-0.7012499999999999
curve,5,-0.41725
curve,5,-0.435
curve,5,-0.25575000000000003
curve,5,-0.268
curve,5,-0.10225000000000001
curve,5,-0.112
curve,5,0.03
curve,5,0.02175
curve,5,0.18305000000000002
curve,5,0.1748
curve,5,0.3543
curve,5,0.34500000000000003
curve,5,0.504
curve,5,0.495
curve,5,0.5686499999999999
curve,5,0.5611499999999999
curve,5,0.6807499999999999
curve,5,0.6742499999999999
curve,5,0.78465
curve,5,0.77865
curve,5,0.8095
curve,5,0.804
curve,5,0.88475
curve,5,0.88
